Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,24.65999984741211,24.969999313354492,21.5,21.610000610351562,16.743202209472656,7529300
2008-12-02,22.139999389648438,23.8700008392334,21.3700008392334,23.709999084472656,18.37026023864746,6699200
2008-12-03,21.489999771118164,23.719999313354492,21.489999771118164,23.549999237060547,18.246299743652344,7013800
2008-12-04,22.899999618530273,25.5,22.709999084472656,24.110000610351562,18.68018913269043,5972000
2008-12-05,23.610000610351562,27.149999618530273,23.579999923706055,27.030000686645508,20.94257354736328,6781900
2008-12-08,27.809999465942383,28.56999969482422,26.010000228881836,27.1200008392334,21.01230812072754,6421700
2008-12-09,26.459999084472656,27.959999084472656,26.170000076293945,26.43000030517578,20.47770118713379,6062000
2008-12-10,26.690000534057617,27.219999313354492,26.200000762939453,26.899999618530273,20.841846466064453,5526700
2008-12-11,26.530000686645508,27.770000457763672,26.010000228881836,26.270000457763672,20.353727340698242,6348500
2008-12-12,25.219999313354492,27.34000015258789,25.209999084472656,27.15999984741211,21.043296813964844,4075000
2008-12-15,26.549999237060547,27.399999618530273,25.139999389648438,25.719999313354492,19.927593231201172,5158100
2008-12-16,26.190000534057617,30.15999984741211,26.170000076293945,30.030000686645508,23.266937255859375,8211700
2008-12-17,29.549999237060547,30.600000381469727,28.799999237060547,29.809999465942383,23.096481323242188,7017800
2008-12-18,30.219999313354492,31.290000915527344,29.600000381469727,29.940000534057617,23.197208404541016,6422600
2008-12-19,30.270000457763672,32.2599983215332,29.299999237060547,31.860000610351562,24.684804916381836,8099700
2008-12-22,31.860000610351562,31.860000610351562,28.920000076293945,29.65999984741211,22.98027229309082,5233100
2008-12-23,30.100000381469727,30.8799991607666,29.299999237060547,29.530000686645508,22.879549026489258,4414100
2008-12-24,30.280000686645508,30.280000686645508,28.920000076293945,29.459999084472656,22.8253173828125,1509400
2008-12-26,29.59000015258789,31.190000534057617,29.59000015258789,30.84000015258789,23.894515991210938,2632900
2008-12-29,30.93000030517578,30.950000762939453,30.0,30.6299991607666,23.73181915283203,3124300
2008-12-30,30.690000534057617,31.979999542236328,30.690000534057617,31.90999984741211,24.723552703857422,3279100
2008-12-31,31.959999084472656,32.95000076293945,31.649999618530273,32.7599983215332,25.382122039794922,3819100
