Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,19.850000381469727,20.290000915527344,19.549999237060547,19.59000015258789,14.499377250671387,9872400
2008-12-02,20.420000076293945,20.670000076293945,19.360000610351562,20.09000015258789,14.869449615478516,12162300
2008-12-03,19.950000762939453,21.309999465942383,19.670000076293945,21.190000534057617,15.683600425720215,8593900
2008-12-04,20.860000610351562,21.239999771118164,20.270000457763672,21.079999923706055,15.602195739746094,12097400
2008-12-05,20.139999389648438,21.68000030517578,19.229999542236328,21.479999542236328,15.898239135742188,8248300
2008-12-08,21.520000457763672,22.34000015258789,21.260000228881836,21.93000030517578,16.231307983398438,8677600
2008-12-09,22.049999237060547,23.190000534057617,21.700000762939453,21.899999618530273,16.2091064453125,5589900
2008-12-10,22.190000534057617,22.850000381469727,21.719999313354492,22.739999771118164,16.830820083618164,5519700
2008-12-11,22.25,22.8700008392334,21.559999465942383,21.829999923706055,16.157297134399414,5883600
2008-12-12,21.25,21.860000610351562,21.0,21.719999313354492,16.075878143310547,4316000
2008-12-15,21.520000457763672,22.139999389648438,20.399999618530273,20.809999465942383,15.402350425720215,4771400
2008-12-16,20.93000030517578,23.0,20.8799991607666,22.8700008392334,16.927040100097656,6103500
2008-12-17,22.389999389648438,23.75,22.059999465942383,23.469999313354492,17.371122360229492,6394800
2008-12-18,22.56999969482422,24.75,22.049999237060547,24.239999771118164,17.941036224365234,11508700
2008-12-19,23.84000015258789,24.6200008392334,23.729999542236328,24.200000762939453,17.911428451538086,6528300
2008-12-22,23.600000381469727,23.760000228881836,22.540000915527344,23.1299991607666,17.119474411010742,4925900
2008-12-23,23.559999465942383,23.979999542236328,23.010000228881836,23.1299991607666,17.119474411010742,3630300
2008-12-24,23.200000762939453,23.56999969482422,22.860000610351562,23.200000762939453,17.171287536621094,956000
2008-12-26,23.40999984741211,23.440000534057617,22.989999771118164,23.34000015258789,17.2749080657959,1230400
2008-12-29,22.81999969482422,23.06999969482422,22.6200008392334,23.040000915527344,17.052871704101562,2769500
2008-12-30,23.260000228881836,24.200000762939453,23.260000228881836,24.170000076293945,17.889225006103516,2245400
2008-12-31,24.229999542236328,24.90999984741211,23.989999771118164,24.31999969482422,18.0002498626709,3732800
2009-01-02,24.18000030517578,25.639999389648438,24.18000030517578,25.549999237060547,18.910621643066406,3442300
2009-01-05,25.079999923706055,25.34000015258789,24.34000015258789,25.079999923706055,18.56275177001953,5064900
2009-01-06,25.520000457763672,25.760000228881836,25.040000915527344,25.219999313354492,18.666378021240234,4524100
2009-01-07,24.5,24.790000915527344,23.81999969482422,24.209999084472656,17.918827056884766,3478800
2009-01-08,24.030000686645508,24.18000030517578,23.31999969482422,24.1299991607666,17.859622955322266,3263100
2009-01-09,24.709999084472656,24.860000610351562,23.209999084472656,23.610000610351562,17.474746704101562,4282800
2009-01-12,23.420000076293945,23.479999542236328,22.280000686645508,22.489999771118164,16.64579200744629,3326600
2009-01-13,22.09000015258789,22.850000381469727,22.049999237060547,22.700000762939453,16.801219940185547,5321500
2009-01-14,22.219999313354492,22.270000457763672,21.34000015258789,21.719999313354492,16.075878143310547,5528100
2009-01-15,21.049999237060547,21.469999313354492,20.110000610351562,20.950000762939453,15.505971908569336,7470300
2009-01-16,21.260000228881836,21.549999237060547,20.299999237060547,21.110000610351562,15.624390602111816,5485300
2009-01-20,20.389999389648438,20.739999771118164,19.09000015258789,19.110000610351562,14.144107818603516,6941300
2009-01-21,19.610000610351562,19.959999084472656,18.920000076293945,19.8799991607666,14.714017868041992,7317600
2009-01-22,19.260000228881836,19.860000610351562,18.979999542236328,19.440000534057617,14.38835620880127,8031100
2009-01-23,18.850000381469727,19.59000015258789,18.600000381469727,19.3799991607666,14.34394645690918,7018400
2009-01-26,19.190000534057617,19.8799991607666,18.799999237060547,19.040000915527344,14.092300415039062,6224100
